"transport_type","total_ridership","avg_ridership","max_ridership","min_ridership"
"bus_rkl",153418962,75242.25698872,239656,0
"bus_rkn",2215470,1086.54732712114,4865,0
"bus_rpn",35079650,17204.340362923,56449,0
"rail_ets",10673569,5234.70769985287,14584,0
"rail_intercity",3721836,1825.32417851888,7648,0
"rail_komuter",10903317,5347.38450220696,89320,0
"rail_komuter_utara",11258882,5521.76655223149,20495,0
"rail_lrt_ampang",252002693,123591.315841099,258313,6587
"rail_lrt_kj",341401184,167435.597842079,352328,7195
"rail_monorail",64025975,31400.6743501717,79585,1392
"rail_mrt_kajang",275438673,135085.175576263,274188,4973
"rail_mrt_pjy",60092240,29471.4271701815,161644,0
"rail_tebrau",6477803,3176.95095635115,10036,0
